"Mfr Part # "	"Manufacturer"	"Product URL"	"Image URL"	"Product Title"	"Product Description"	"Category"	"Price"	"Condition"	"MSRP"	"category"	"link"	"image_link"
"P1447"	"Enabled"	"14k-white-gold-womens-diamond-journey-pendant-0-13-ctw.html"	"/p/1/p1447-1.jpg"	"14K White Gold Womens Diamond Journey Pendant 0.13 Ctw"	"This exquisite womens diamond journey pendant is crafted in 14K White Gold. The center is prong set with three brilliant round cut diamonds which weigh a total of 0.13 carats. Measuring to 5/8 Inches in length, this lovely womens diamond journey pendant weighs approximately 2 grams. This pendant comes with a matching 18 Inch 14K White Gold Chain."	"Diamond Pendant"	"284.0000"	"used"	"850.0000"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Journey Pendants >Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/2797/s/14k-white-gold-womens-diamond-journey-pendant-0-13-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/1/p1447-1.jpg"
"P11023"	"Enabled"	"14k-yellow-gold-womens-diamond-pearl-pendant-0-10-ctw.html"	"/p/1/p11023-1_1.jpg"	"14K Yellow Gold Womens Diamond Pearl Pendant 0.10 Ctw"	"This elegant womens diamond pearl pendant is crafted in highly polished 14K Yellow Gold. The center is channel set with small round cut diamonds which are G in color and SI1 in clarity. One white round pearl is set next to the diamonds which weigh a total of 0.10 carats. Measuring to 1 Inch in length, the pendant weighs approximately 3.6 grams. This lovely womens diamond pearl pendant comes with a matching 18 Inch 14K Yellow Gold Chain."	"Diamond Pendant"	"450.0000"	"new"	"1350.0000"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants>Root Catalog>Womens>Pearl Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Necklaces>Root Catalog>Womens>Pearl Jewelry>Pearl Diamond Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Pendants "	"http://www.avianneandco.com/store/catalog/product/view/id/2798/s/14k-yellow-gold-womens-diamond-pearl-pendant-0-10-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/1/p11023-1_1.jpg"
"R5664"	"Enabled"	"14k-yellow-gold-mens-diamond-wedding-band-0-25-ctw-1.html"	"/r/5/r5664-1_1.jpg"	"14K Yellow Gold Mens Diamond Wedding Band 0.25 Ctw"	" This elegant mens diamond wedding band is crafted in lustrous 14K Yellow Gold. The center is set with five brilliant round cut diamonds which weigh a total of 0.25 carats. The band measures to 1/4 Inches in width and weighs a total of 4 grams. This mens diamond wedding band gleams with sophistication and elegance. "	"Diamond Ring"	"384.0000"	"new"	"1150.0000"	"Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Mens Wedding Bands>Root Catalog>Mens>Rings>Mens Diamond Wedding Bands>Root Catalog>Mens>Rings>Mens Diamond Rings>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/2800/s/14k-yellow-gold-mens-diamond-wedding-band-0-25-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/5/r5664-1_1.jpg"
"R90213"	"Enabled"	"14k-two-tone-womens-ring.html"	"/r/9/r90213-1.jpg"	"14K Two Tone Womens Wedding Band  "	"This exquisite womens gold ring is crafted in both white and yellow 14K Gold. Handmade to perfection, this elegantly designed band weighs approximately 6.2 grams and measures to 3/8 Inches in width."	"Gold Ring "	"500.0000"	"new"	"1500.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Womens Wedding Bands>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/2801/s/14k-two-tone-womens-ring/"	"http://www.avianneandco.com/store/media/catalog/product//r/9/r90213-1.jpg"
"R9983"	"Enabled"	"10k-yellow-gold-womens-diamond-ring-0-20-ctw-1.html"	"/r/9/r9983-1_1.jpg"	"10K Yellow Gold Womens Diamond Ring 0.20 Ctw"	" This lovely womens diamond ring features small round cut diamodns which are channel set half way across the center. The frame is crafted in 10K Yellow Gold and weighs approximately 2.1 grams. 'I Love You' words are carved on two opposite sides of the center piece which measures to 1/8 Inches in width. This charming womens diamond ring is an ideal gift at a very affordable value. "	"Diamond Ring"	"259.0000"	"new"	"775.0000"	"Root Catalog>Womens>Root Catalog>Womens>Rings>Root Catalog>Womens>Rings>Womens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/2802/s/10k-yellow-gold-womens-diamond-ring-0-20-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/9/r9983-1_1.jpg"
"R9984"	"Enabled"	"10k-yellow-gold-womens-diamond-wedding-band-0-20-ctw.html"	"/r/9/r9984-1_1.jpg"	"10K Yellow Gold Womens Diamond Wedding Band 0.20 Ctw"	" This lovely womens diamond wedding band is crafted in highly gleaming 10K Yellow Gold. The center is channel set with small round cut diamonds which total to 0.20 carats. The frame measures to 1/8 Inches in width and weighs approximately 1.8 grams. This womens diamond wedding band gleams with elegance and sophistication. "	"Diamond Ring"	"217.0000"	"new"	"650.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Womens Wedding Bands"	"http://www.avianneandco.com/store/catalog/product/view/id/2803/s/10k-yellow-gold-womens-diamond-wedding-band-0-20-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/9/r9984-1_1.jpg"
"R45332"	"Enabled"	"14k-white-gold-mens-diamond-wedding-band-0-50-ctw.html"	"/i/m/im-1_290.jpg"	"14K White Gold Mens Diamond Wedding Band 0.50 Ctw"	"This exquisite mens diamond wedding band is crafted in lustrous 14K White Gold. The center is prong set with five small round cut diamonds which are I in color and SI1/SI2 in clarity. The frame measures to 5/16 Inches in width and weighs approximately 8.1 grams. This mens diamond wedding band gleams with beauty and elegance."	"Diamond Ring"	"750.0000"	"new"	"2250.0000"	"Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Mens Wedding Bands>Root Catalog>Mens>Rings>Mens Diamond Wedding Bands>Root Catalog>Mens>Rings>Mens Diamond Rings>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/2806/s/14k-white-gold-mens-diamond-wedding-band-0-50-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_290.jpg"
"R5432"	"Enabled"	"14k-yellow-gold-womens-diamond-wedding-band-0-30-ctw-1.html"	"/r/5/r5432-1_1.jpg"	"14K Yellow Gold Womens Diamond Wedding Band 0.30 Ctw"	" This elegantly designed womens diamond wedding band is crafted in lustrous 14K Yellow Gold. The center is channel set with small round cut diamonds which are H/I in color and SI1/SI2 in clarity. The band measuring to 1/4 Inches in width and weighs approximately 4.8 grams. This exquisite womens diamond wedding band is an ideal gift at an affordable value. "	"Diamond Ring"	"667.0000"	"new"	"2000.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Womens Wedding Bands>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/2807/s/14k-yellow-gold-womens-diamond-wedding-band-0-30-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/5/r5432-1_1.jpg"
"P6777"	"Enabled"	"14k-yellow-gold-womens-diamond-lock-pendant-0-03-ctw.html"	"/p/6/p6777-1_1.jpg"	"14K Yellow Gold Womens Diamond Key Pendant 0.53 Ctw"	"This lovely womens diamond key pendant is crafted in lustrous 14K Yellow Gold. The center is prong set with three small pink synthetic gemstones which weigh a total of 0.50 carats. Small round cut diamond is pave set on the bottom of the lock pendant and weighs a total of 0.03 carats. Measuring to 1 Inch in length, this lovely womens diamond key pendant comes with a matching 18 Inch 14K Yellow Gold Chain. "	"Diamond Pendant"	"265.0000"	"new"	"795.0000"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/2808/s/14k-yellow-gold-womens-diamond-lock-pendant-0-03-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/6/p6777-1_1.jpg"
"R5545"	"Enabled"	"18k-white-gold-womens-ring.html"	"/i/m/im-1_242_1.jpg"	"18K White Gold Womens Ring "	"This exquisite womens 18K white gold ring is hand made and crafted in italy. 'I Love You' is carved out in the center which measures to 3/8 Inches in width. The frame of this womens gold ring weighs approximately 6.5 grams. "	"Gold Ring "	"525.0000"	"used"	"1575.0000"	"Root Catalog>Womens>Root Catalog>Womens>Rings>Root Catalog>Womens>Rings>Womens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/2809/s/18k-white-gold-womens-ring/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_242_1.jpg"
"P0098"	"Enabled"	"14k-rose-gold-womens-diamond-ruby-pendant-0-09-ctw.html"	"/p/0/p0098-1_1_1.jpg"	"14K Rose Gold Womens Diamond Ruby Pendant 0.09 Ctw"	"This lovely womens diamond pendant is crafted in lustrous 14K Rose Gold. The carved out pendant features a boy with small shorts which are bezel set with two small round cut diamonds on a white gold frame. The boy is holding a heart with one small round cut bezel set red ruby. Another set of small round cut bezel set red rubies are placed in the center of the pendant. This lovely pendant is 1 Inch in length and 5/8 Inches in width. Each ruby weighs 0.01 carats and two diamonds weigh a total of 0.03 carats.  Handmade to perfection, this womens diamond ruby pendant comes with a matching 16 Inch 14K Gold Chain. "	"Diamond Pendant"	"375.0000"	"new"	"1125.0000"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/2810/s/14k-rose-gold-womens-diamond-ruby-pendant-0-09-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/0/p0098-1_1_1.jpg"
"R11700-1"	"Enabled"	"18k-rose-gold-womens-diamond-bracelet-0-19-ctw.html"	"/r/1/r11700-1.jpg"	"18K Rose Gold Womens Diamond Bracelet 0.70 Ctw"	"This uniquely designed womens diamond bracelet is crafted in highly polished 14K Rose Gold. The center is adorned with small round cut white diamonds which total to 0.19 carats. The center piece, measuring to 1/2 Inches in width, is set with brilliant gemstones which total to 0.51 carats.  Measuring to 7 Inches in length, this bracelet comes with one inch extension. Weighing approximately 5 grams, this brilliantly designed womens diamond bracelet is an ideal accessory for an every day casual wear."	"Diamond Bracelet"	"449.0000"	"new"	"1352.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2815/s/18k-rose-gold-womens-diamond-bracelet-0-19-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/1/r11700-1.jpg"
"P1102"	"Enabled"	"14k-yellow-gold-womens-diamond-pendant-0-35-ctw.html"	"/p/1/p1102-1_2.jpg"	"10K Yellow Gold Womens Diamond Pendant 0.35 Ctw"	"This elegant womens diamond pendant is crafted in highly polished 10K Yellow Gold. The center is set with one large round cut diamond which is SI2 in clarity and H/I in color. The bottom is set with five small round cut diamonds which are SI3/I1 in clarity and H/I in color. This finely detailed womens diamond pendant measures to 5/8 Inches in length and comes with a matching 16 Inch 14K Yellow Gold Chain."	"Diamond Pendant"	"584.0000"	"new"	"1750.0000"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/2825/s/14k-yellow-gold-womens-diamond-pendant-0-35-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/1/p1102-1_2.jpg"
"P10859"	"Enabled"	"14k-white-gold-womens-aquamarine-cross-pendant-1-55-ctw.html"	"/P/1/P10859-1.jpg"	"14K White Gold Womens Aquamarine Cross Pendant 1.55 Ctw"	"This lovely womens aquamarine cross pendant is crafted in highly polished 14K White Gold. The frame is prong set with seven large aquamarine stones which total to 1.55 carats. Measuring to 1 1/4 Inches in length and 1/2 Inches in width, the pendant weighs approximately 6.5 grams. This lovely womens aquamarine cross pendant is an ideal accessory for an every day wear."	"Gold Pendant"	"584.0000"	"new"	"1750.0000"	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/2827/s/14k-white-gold-womens-aquamarine-cross-pendant-1-55-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//P/1/P10859-1.jpg"
"P11030"	"Enabled"	"14k-white-gold-womens-topaz-pendant-4-89-ctw.html"	"/p/1/p11030-1.jpg"	"14K White Gold Womens Topaz Pendant 4.89 Ctw"	"This elegant womens topaz pendat is crafted in 14K White Gold. The center is prong set with three large blue topaz gemstones which total to 4.89 carats. Measuring to approximately 1 Inches in length, the frame measures to 1/2 Inches in width. NOTE: The chain is for illustration purposes ONLY and may be purchased separately. Please dial our toll free phone number to inquire."	"Gold Pendant"	"667.0000"	"new"	"2000.0000"	"Root Catalog>Womens>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/2828/s/14k-white-gold-womens-topaz-pendant-4-89-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/1/p11030-1.jpg"
"P11393"	"Enabled"	"14k-white-gold-womens-diamond-heart-pendant-0-10-ctw.html"	"/p/1/p11393-1.jpg"	"14K White Gold Womens Diamond Heart Pendant 0.10 Ctw"	"This simple yet elegant womens diamond heart pendant is crafted in highly polished 14K White Gold. The center features carved out word with a heart in the center which is pave set with three small round cut diamonds. Measuring to 15/16 Inches in length, the frame weighs approximateyl 4.3 grams. This lovely womens diamond heart pendant is an ideal gift for that special someone. NOTE: The chain is for illustration purposes only and may be purchased separately."	"Diamond Pendant"	"500.0000"	"new"	"1500.0000"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Heart Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/2829/s/14k-white-gold-womens-diamond-heart-pendant-0-10-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/1/p11393-1.jpg"
"P10503"	"Enabled"	"14k-white-gold-womens-diamond-pendant-0-30-ctw.html"	"/p/1/p10503-1_1.jpg"	"14K White Gold Womens Diamond Pendant 0.30 Ctw "	"This small womens diamond pendant is channel set with six small round cut diamonds. Two small round cut diamonds are bezel set on two opposite sides of the pendant. The frame is crafted in highly polished 14K white gold and weighs approximately 3 grams. Measuring to 11/16 Inches in length, this lovely womens diamond pendant comes with a matching 18 Inch Whtie Gold Chain. "	"Diamond Pendant"	"500.0000"	"new"	"1500.0000"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/2830/s/14k-white-gold-womens-diamond-pendant-0-30-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/1/p10503-1_1.jpg"
"P15258"	"Enabled"	"14k-white-gold-womens-diamond-skull-pendant-0-25-ctw.html"	"/P/1/P15258-2.jpg"	"14K White Gold Womens Diamond Skull Pendant 0.25 Ctw"	"This uniquely designed womens diamond skull pendant is crafted in 14K White Gold. The forehead is pave set with small round cut diamonds which total to 0.25 carats. The frame measures to approximately 5/8 Inches in length and 3/4 Inches in width. This exquisite womens diamond skull pendant comes with a matching 14K White Gold Ball Chain."	"Diamond Pendant"	"534.0000"	"new"	"1600.0000"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/2831/s/14k-white-gold-womens-diamond-skull-pendant-0-25-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//P/1/P15258-2.jpg"
"P10867"	"Enabled"	"14k-white-gold-unisex-diamond-initial-pendant-0-59-ctw.html"	"/p/1/p10867-1_1.jpg"	"14K White Gold Womens Diamond Initial Pendant 0.59 Ctw"	"This elegant womens diamond initial pendant is pave set with numerous small round cut diamonds which total to 0.59 carats. The frame is crafted in lustrous 14K White Gold and measures to 13/16 Inches in length and 9/16 Inches in width. This uniquely designed diamond initial pendant comes with a matching 16 Inch 14K White Gold Chain."	"Diamond Pendant"	"950.0000"	"new"	"2850.0000"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Mens>Pendants>Diamond Initial Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/2833/s/14k-white-gold-unisex-diamond-initial-pendant-0-59-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/1/p10867-1_1.jpg"
"CR-2152"	"Enabled"	"14k-yellow-gold-womens-diamond-cross-pendant-0-65-ctw.html"	"/c/r/cr-2152-1.jpg"	"14K Yellow Gold Womens Diamond Cross Pendant 0.65 Ctw"	"This lovely womens diamond cross pendant is crafted in 14K Yellow Gold. The elegantly designed frame is outlined with numerous small round cut diamonds which are carefully placed on pave setting. Measuring to 1 1/2 Inches in length, the frame weighs approximately 6.7 grams. This exquisite womens diamond cross is an ideal accessory for an every day wear."	"Diamond Pendant"	"750.0000"	"new"	"2250.0000"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Crosses >Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/2835/s/14k-yellow-gold-womens-diamond-cross-pendant-0-65-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//c/r/cr-2152-1.jpg"
"P11725"	"Enabled"	"14k-yellow-gold-womens-diamond-cross-pendant-0-25-ctw.html"	"/p/1/p11725-1.jpg"	"14K Yellow Gold Womens Diamond Cross Pendant 0.25 Ctw"	"This lovely womens diamond cross pendant is crafted in lustrous 14K Yellow Gold. The center is pave set with small round cut diamonds which total to 0.25 carats. The frame measures to 1 Inches in length and weighs approximately 5.3 grams. This lovely womens diamond cross pendant comes with a matching 14K Yellow Gold Chain."	"Diamond Pendant"	"334.0000"	"new"	"1000.0000"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Crosses >Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/2838/s/14k-yellow-gold-womens-diamond-cross-pendant-0-25-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/1/p11725-1.jpg"
"ER5567"	"Enabled"	"18k-white-gold-womens-diamond-hoop-earrings-0-90-ctw.html"	"/e/r/er5567-1.jpg"	"18K White Gold Womens Diamond Hoop Earrings 0.90 Ctw"	"These lovely womens diamond hoop earrings are crafted in lustrous 18K White Gold. The inner and outer frames of each earring are prong set with brilliant VS1 in clarity and G in color round cut diamonds. Measuring to 3/4 Inches in length and 1/8 Inches in width, these earrings weigh a total of 4.6 grams. These exquisite womens diamond hoop earrings are ideal for both casual and special wear."	"Diamond Earring"	"1000.0000"	"new"	"3000.0000"	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings>Root Catalog>Womens>Earrings>Diamond Hoop Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/2850/s/18k-white-gold-womens-diamond-hoop-earrings-0-90-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//e/r/er5567-1.jpg"
"R53211"	"Enabled"	"14k-white-gold-womens-diamond-ring-0-31-ctw.html"	"/r/5/r53211-1.jpg"	"14K White Gold Womens Diamond Ring 0.31 Ctw"	"This lovely womens diamond ring features brilliant small round cut diamonds which weigh a total of 0.31 carats. The frame weighs approximately 3.5 grams and the center measures to 5/8 Inches in width. This charming womens diamond ring is crafted in highly polished 14K White Gold. "	"Diamond Ring"	"417.0000"	"new"	"1250.0000"	"Root Catalog>Womens>Root Catalog>Womens>Rings>Root Catalog>Womens>Rings>Womens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/2851/s/14k-white-gold-womens-diamond-ring-0-31-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/5/r53211-1.jpg"
"P11203"	"Enabled"	"14k-white-gold-diamond-hamsa-pendant-0-39-ctw.html"	"/P/1/P11203-1.jpg"	"14K White Gold Diamond Hamsa Pendant 0.39 Ctw"	"This religious diamond hamsa pendant is crafted in highly polished 14K White Gold. The center of the hand is highlighted with brilliant G in color and SI1 in clarity round cut diamonds which weigh a total of 0.39 carats. Measuring to 1 Inch in length, the frame weighs approximately 1.8 grams. This one of a kind hamsa pendant is an ideal pendant of religious purposes."	"Diamond Pendant"	"334.0000"	"new"	"1000.0000"	"Root Catalog>Mens>Root Catalog>Mens>Pendants>Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Mens>Pendants>Diamond Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/2852/s/14k-white-gold-diamond-hamsa-pendant-0-39-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//P/1/P11203-1.jpg"
"R44560"	"Enabled"	"14k-yellow-gold-mens-diamond-wedding-band-0-15-ctw.html"	"/r/4/r44560-1_1_1.jpg"	"14K Yellow Gold Womens Diamond Wedding Band 0.15 Ctw"	"This elegant womens diamond wedding band is crafted in highly polished 14K Yellow Gold. Four small round cut diamonds are channel set in the center and weigh a total of 0.15 carats. Weighing approximately 4.5 grams, the frame measures to 1/4 Inches in width. This simple yet alluring womens diamond wedding band is an ideal gift for that special day."	"Diamond Ring"	"367.0000"	"new"	"1100.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Womens Wedding Bands>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/2855/s/14k-yellow-gold-mens-diamond-wedding-band-0-15-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/4/r44560-1_1_1.jpg"
"R44566"	"Enabled"	"14k-white-gold-diamond-engagement-ring-0-45-ctw.html"	"/i/m/im-1_60.jpg"	"14K White Gold Womens Diamond Ring 0.45 Ctw"	"This elegant womens diamond ring is crafted in lustrous 14K White Gold. The center is prong set with one brilliant round cut diamond which is H in color, SI1/SI2 in clarity and weighs a total of 0.25 carats. The small baguette and round cut side stones weigh a total of 0.20 carats. Weighing approximately 3 grams, the frame measures to 5/16 Inches in width. This simple womens diamond ring is an ideal accessory at a very affordable price."	"Diamond Ring"	"417.0000"	"new"	"1250.0000"	"Root Catalog>Womens>Root Catalog>Womens>Rings>Root Catalog>Womens>Rings>Womens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/2856/s/14k-white-gold-diamond-engagement-ring-0-45-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_60.jpg"
"R55466"	"Enabled"	"14k-yellow-gold-diamond-bridal-ring-set-0-50-ctw.html"	"/r/5/r55466-7.jpg"	"14K Yellow Gold Diamond Bridal Ring Set 0.50 Ctw"	"This lovely diamond bridal ring set features one engagement ring and a matching wedding band. The center of the engagement ring is prong set with one 0.25 carat marquise cut diamond and small channel set round cut diamonds. The wedding band is also channel set with small round cut diamonds. The frames of both rings are crafted in lustrous 14K Yellow Gold and weigh approximately 4.7 grams. This elegant diamond bridal ring set is an ideal gift at a very affordable price."	"Diamond Ring"	"542.0000"	"new"	"1625.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/2857/s/14k-yellow-gold-diamond-bridal-ring-set-0-50-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/5/r55466-7.jpg"
"ER7781"	"Enabled"	"14k-white-gold-unisex-diamond-earring-studs-1-05-ctw.html"	"/e/r/er7781-1.jpg"	"14K White Gold Diamond Cluster Stud Earrings 1.05 Ctw"	"These elegant unisex cluster diamond stud earrings are crafted in 14K White Gold. The center is prong set with seven brilliant VS2 in clarity and G in color round cut diamonds which weigh a total of 1.05 carats. The frame of each earring measures to 1/4 Inches in width and securely locks with a push back closure. These exquisite unisex diamond earring studs are ideal for casual or special wear."	"Diamond Earring"	"834.0000"	"new"	"2500.0000"	"Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/2859/s/14k-white-gold-unisex-diamond-earring-studs-1-05-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//e/r/er7781-1.jpg"
"R11233"	"Enabled"	"14k-yellow-gold-mens-diamond-wedding-band-0-25-ctw-2.html"	"/r/1/r11233-1.jpg"	"14K Yellow Gold Mens Diamond Wedding Band 0.25 Ctw"	"This elegant mens diamond wedding band features three round cut diamonds which are H in color and SI1/SI2 in clarity. The band is crafted in 14K Yellow Gold and measures to 1/4 Inches in width. This exquisite mens diamond wedding band weighs approximately 8.3 grams."	"Diamond Ring"	"675.0000"	"new"	"2025.0000"	"Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Mens Wedding Bands>Root Catalog>Mens>Rings>Mens Diamond Wedding Bands>Root Catalog>Mens>Rings>Mens Diamond Rings>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/2862/s/14k-yellow-gold-mens-diamond-wedding-band-0-25-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/1/r11233-1.jpg"
"ER7783"	"Enabled"	"14k-white-gold-unisex-diamond-earring-studs-1-05-ctw-1.html"	"/e/r/er7783-1.jpg"	"14K White Gold Diamond Cluster Stud Earrings 1.07 Ctw"	"These elegant unisex cluster diamond stud earrings are crafted in 14K White Gold. The center is prong set with seven brilliant SI1/SI2  in clarity and H in color round cut diamonds which weigh a total of 1.07 carats. The frame of each earring measures to 1/4 Inches in width and securely locks with a push back closure. These exquisite unisex diamond earring studs are ideal for casual or special wear."	"Diamond Earring"	"625.0000"	"new"	"1875.0000"	"Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/2866/s/14k-white-gold-unisex-diamond-earring-studs-1-05-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//e/r/er7783-1.jpg"
