"Product Name"	"Manufacturer Name"	"Retsku"	"Categorization"	"Detailed Description "	"Selling Price "	"Availability"	"Regular Price"	"Condition"	"Product URL"	"Image URL"
"Sapphire and Diamond Jewelry & Watches > Fine Jewelry > Rings in W"	"Avianne & Co"	"RSC8838 "	"Jewelry & Watches > Fine Jewelry > Rings"	"   Ten princess shaped blue sapphire gemstones total 0.50 carats in this 14k white Jewelry & Watches > Fine Jewelry > Rings. There are a grand total of 74 round prong set diamonds that accent the sapphires. The diamonds have H/I color and SI2/SI3 clarity.   "	429	"Yes"	1290	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8179/s/sapphire-and-diamond-gemstone-ring-in-w/"	"http://www.avianneandco.com/store/media/catalog/product//r/s/rsc8838a.jpg"
"Sapphire and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R4780 "	"Jewelry & Watches > Fine Jewelry > Rings"	"  Handcrafted in 14k white gold, this beautiful band features 12 marquise shapes of deep blue sapphire gemstones accented by round brilliant prong set diamonds. The diamonds total 20 and have H/I color and I1/I2 clarity.  "	489	"Yes"	1470	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8180/s/sapphire-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/4/r4780a.jpg"
"Pink and Yellow Sapphire and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R2617 "	"Jewelry & Watches > Fine Jewelry > Rings"	"  Pink and yellow compliment each other well in this yellow, pink sapphire and Jewelry & Watches > Fine Jewelry > Rings. The 14k white gold band consists of pave set yellow and pink round sapphires accented by pave set round diamonds. The diamonds have G/H color and SI2/SI3 clarity.  "	489	"Yes"	1470	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8181/s/pink-and-yellow-sapphire-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/2/r2617a.jpg"
"Sapphire and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"RSC8837 "	"Jewelry & Watches > Fine Jewelry > Rings"	"  Eighteen princess shaped blue sapphire gemstones total to 0.81 carats in this 14k white Jewelry & Watches > Fine Jewelry > Rings. There are a grand total of 48 round prong set diamonds that accent the sapphires. The diamonds have H/I color and SI2/SI3 clarity.  "	429	"Yes"	1290	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8182/s/sapphire-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/s/rsc8837a.jpg"
"Ruby and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R1753R "	"Jewelry & Watches > Fine Jewelry > Rings"	"  Three rows of princess shaped invisibly set pink Ruby gemstones lay in-between two slim rows of glittering diamonds in this 14k white gold band. The round prong set diamonds have G/H color and SI2/SI3 clarity.  "	529	"Yes"	1590	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8183/s/ruby-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/1/r1753ra.jpg"
"Ruby and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R1075R "	"Jewelry & Watches > Fine Jewelry > Rings"	"  This unique ring features pink Ruby gemstones and round and baguette shaped diamonds. The pink Ruby gemstones are princess shaped and invisibly set in the center. They are surrounded by round prong set and baguette shaped channel set diamonds. The color of the diamonds are H/I and the clarity is SI2/SI3.  "	359	"Yes"	1080	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8184/s/ruby-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/1/r1075ra.jpg"
"Solitaire Oval Cut Sapphire and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R5370 "	"Jewelry & Watches > Fine Jewelry > Rings"	"   This pretty and dainty 18k white Jewelry & Watches > Fine Jewelry > Rings features a 0.50 carat oval shaped prong set blue sapphire gemstone. There are two thin rows of round prong set diamonds that accent the sapphire. The diamonds have G/H color and SI1/SI2 clarity.   "	399	"Yes"	1200	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8185/s/solitaire-oval-cut-sapphire-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/5/r5370a.jpg"
"Sapphire and Diamond Unique Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"MB3075S "	"Jewelry & Watches > Fine Jewelry > Rings"	"  This stylish and unique Jewelry & Watches > Fine Jewelry > Rings gleams with deep blue with 3 princess shaped bar set sapphire gemstones in a row in the center. There are 2 round bezel set diamonds on each side of the sapphire row to give that extra sparkle. The diamonds have G/H color and SI2/SI3 clarity.  "	359	"Yes"	1080	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8186/s/sapphire-and-diamond-unique-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//m/b/mb3075sa.jpg"
"Sapphire and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R1721S "	"Jewelry & Watches > Fine Jewelry > Rings"	"  Handcrafted in 18k white gold, this ring features both blue sapphire gemstones and sparkling diamonds. There are 32 round prong set diamonds that accent the princess shaped invisibly set sapphires in the middle. The diamonds have G/H color and SI1/SI2 clarity.  "	549	"Yes"	1650	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8187/s/sapphire-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/1/r1721sa.jpg"
"Blue Topaz Diamond Heart Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"SDR2613 "	"Jewelry & Watches > Fine Jewelry > Rings"	"  This beautiful 14k white Jewelry & Watches > Fine Jewelry > Rings features a heart shaped blue topaz gemstone in the center accented by diamonds. The blue topaz gemstone is heart shaped and prong set and sits in the middle of round glittering diamonds. The diamonds have H/I color and SI2/SI3 clarity.  "	219	"Yes"	660	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8188/s/blue-topaz-diamond-heart-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//s/d/sdr2613a.jpg"
"Solitaire Princess Cut Citrine and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R6808C "	"Jewelry & Watches > Fine Jewelry > Rings"	"  This dazzling 18k white Jewelry & Watches > Fine Jewelry > Rings features a shining princess shaped gold citrine gemstone and a total of 92 fiery diamonds. The citrine is bezel set and is surrounded by round prong set diamonds. The diamonds have G/H color and VS2/SI1 clarity.  "	1239	"Yes"	3720	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8189/s/solitaire-princess-cut-citrine-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/6/r6808ca.jpg"
