Unique Merchant SKU	Product Name 	Product URL	Image URL	Current Price	Stock Availability	Condition	MPN/ISBN	UPC or EAN	Shipping Rate	Original Price	Coupon Code	Coupon Code Description	Brand / Manufacturer	Product Description 	Product Type	Category	Category ID
R841	14K White Gold Womens Diamond Wedding Band 0.57 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1279/s/14k-white-gold-womens-diamond-wedding-band-0-57-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/8/r841-2.jpg	825	Yes	New				2475			Avianne & Co	This simple yet elegant womens diamond wedding band is crafted in lustrous 14K White Gold. The center is highlighted with brilliant baguette cut diamonds which are channel set on two rows across the center. This exquisite diamond ring weighs approximately 6.8 grams. 			276
R841A	14K Yellow Gold Womens Diamond Wedding Band 0.57 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1280/s/14k-white-gold-womens-diamond-wedding-band-0-57-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/8/r841-1_3.jpg	499	Yes	New				1497			Avianne & Co	This simple yet elegant womens diamond wedding band is crafted in lustrous 14K Yellow Gold. The center is highlighted with brilliant baguette cut diamonds which are channel set on two rows across the center. This is an diamond ring  which gleams with sophistication and beauty. 			276
R135	14K White Gold Womens Diamond Blue Topaz Ring 3.34 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1281/s/14k-white-gold-womens-diamond-ring-0-07-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/1/r135-1_1.jpg	732	Yes	New				2196			Avianne & Co	This womens elegant diamond ring is crafted in lustrous 14K White Gold. The center is channel set with a beautiful blue oval shape topaz which totals to 3.27 carats. The sides of the center piece are highlighted with small round cut diamonds which total to 0.07 carats. This exquisite womens cocktail gemstone diamond ring is an ideal addition to any diamond collection.			276
R-413	14K White Gold Womens Diamond Ring 0.50 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1282/s/14k-white-gold-womens-diamond-ring-0-50-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/-/r-413-1.jpg	667	Yes	New				2001			Avianne & Co	This exquisite womens diamond ring is brilliantly pave set with small round cut diamonds. The band is crafted in lustrous 14K White Gold and weighs approximately 7.7 grams. 			276
R1326B	14K White Gold Womens Diamond Wedding Band 1.03 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1284/s/14k-white-gold-womens-diamond-wedding-band-1-03-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/1/r1326-1_1.jpg	767	Yes	New				2301			Avianne & Co	 This alluring womens diamond wedding band is crafted in highly polished 14K White Gold. The center is pave set with numerous round cut diamonds. This womens wedding band gleams with elegance and sophistication. 			276
R1326BA	14K Yellow Gold Womens Diamond Wedding Band 1.03 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1285/s/14k-white-gold-womens-diamond-wedding-band-1-03-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/1/r1326b-1_2.jpg	769	Yes	New				2307			Avianne & Co	 This alluring womens diamond wedding band is crafted in highly polished 14K Yellow Gold. The center is pave set with numerous round cut diamonds. This womens wedding band gleams with elegant and sophistication. 			276
R6314Y	14K White Gold Womens Diamond Tiger Ring 0.23 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1286/s/14k-white-gold-womens-diamond-tiger-ring-0-23-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/6/r6314y-1.jpg	1417	Yes	New				4251			Avianne & Co	"This unique animal inspired diamond ring is crafted in lustrous 14K White Gold. The head of the tiger is carefully carved out, hand painted and pave set with small round cut yellow diamonds. Represent your inner strength and style with this fine womens diamond tiger ring. "			276
R6314Y18	14K White Gold Womens Diamond Tiger Ring 0.24 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1288/s/14k-white-gold-womens-diamond-tiger-ring-0-23-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/6/r6314y18-1.jpg	1600	Yes	New				4800			Avianne & Co	"This unique animal inspired womens diamond ring is crafted in lustrous 14K White Gold. The head of the tiger is carefully carved out, hand painted and pave set with small round cut yellow diamonds. Represent your inner strength and style with this fine womens diamond tiger ring.  Please inquire about resizing. "			276
R217B	18K Yellow Gold Womens Diamond Pearl Ring 1.27 Ctw  	http://www.avianneandco.com/store/catalog/product/view/id/1290/s/18k-white-gold-womens-pearl-diamond-ring-1-27-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/2/r217-1.jpg	992	Yes	New				2976			Avianne & Co	18K Yellow Gold Womens Diamond ring features natural pearl with round cut diamonds. 			276
R5189	14K White Gold Womens Diamond Ring 1.01 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1291/s/14k-white-gold-womens-diamond-ring-1-01-ctw/	http://www.avianneandco.com/store/media/catalog/product//f/i/file_821_1.jpg	1000	Yes	New				3000			Avianne & Co	This uniquely shaped square band is crafted in lustrous 14K White Gold and pave set with small round cut diamonds. The square band is 21 mm in length (13/16 Inches) and 21 mm in width. Showcase your style and originality with this alluring womens diamond ring. 			276
R5291B	14K Yellow Gold Womens Diamond Cocktail  Ring 1.01 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1292/s/18k-yellow-gold-womens-diamond-ring-1-00-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/5/r5291a-1_1.jpg	1499	Yes	New				4497			Avianne & Co	This alluring womens diamond ring is crafted in lustrous 14K Yellow Gold. The center piece is elegantly carved out and pave set with small round cut diamonds. This unique womens ring is an ideal diamond accessory for a special night out. Please inquire about resizing. 			276
R5291	14K White Gold Womens Diamond Cocktail Ring 1.01 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1293/s/18k-yellow-gold-womens-diamond-ring-1-00-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/5/r5291a-1.jpg	1500	Yes	New				4500			Avianne & Co	This alluring womens diamond ring is crafted in lustrous 14K White Gold. The center piece IS elegantly carved out and pave set with small round cut diamonds. This unique womens ring is an ideal diamond accessory for a special night out. 			276
R4951O	14K White Gold Womens Diamond Onyx Ring 0.76 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1294/s/14k-white-gold-womens-diamond-onyx-ring-0-76-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/4/r49510-1_1.jpg	1167	Yes	New				3501			Avianne & Co	This one of a kind womens onyx ring is crafted in highly polished 14K White Gold. The center features one large black onyx stone which is shaped into a triangle. The stone is surrounded with small round cut diamonds. Showcase your style and originality with this alluring womens diamond ring. 			276
R4137A	14K White Gold Womens Diamond Cocktail Ring 1.57 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1295/s/14k-white-gold-womens-diamond-ring-1-57-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/4/r44137-1_2_1.jpg	834	Yes	New				2502			Avianne & Co	This uniquely designed womens diamond ring is crafted in lustrous 14K White Gold. The center piece is beautifully designed and highlighted with three rows of channel set round cut diamonds and two rows of pave set round cut diamonds. Showcase your fashion and originality with this beautiful modern diamond ring. 			276
R44137	14K White Gold Womens Diamond Ruby Ring 1.20 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1296/s/14k-white-gold-womens-diamond-ring-0-30-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/4/r44137-1_2.jpg	784	Yes	New				2352			Avianne & Co	This alluring womens diamond ring is crafted in lustrous 14K White Gold. The uniquely designed center piece features three rows of channel set princess cut rubies and two rows of pave set round cut white diamonds. The rubies total to 0.90 carats and white diamonds total to 0.30 carats. Showcase your style and originality with this exquisite diamond gemstone ring. 			276
LD2801A	18K White Gold Womens Diamond Gemstone Ring 1.01 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1298/s/18k-white-gold-womens-diamond-ring-1-01-ctw/	http://www.avianneandco.com/store/media/catalog/product//l/d/ld2801-1_1.jpg	999	Yes	New				2997			Avianne & Co	This lovely womens diamond ring is crafted in highly polished 18K White Gold. The center features small round cut green and blue sapphires and numerous round cut diamonds. This charming feminine womens diamond ring is an ideal addition to your diamond collection.  			276
R4951LO	14K White Gold Womens Diamond Coral Ring 14.71 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1299/s/14k-white-gold-womens-diamond-coral-ring-0-76-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/4/r4951lo-1.jpg	1167	Yes	New				3501			Avianne & Co	This elegant womens diamond coral ring is crafted in lustrous 14K White Gold. The center features one large white coral stone which totals to 13.95 carats. The stone is surrounded with small pave set round cut diamonds which total to 0.76 carats. This alluring womens diamond ring represents modernity and originality. Please inquire about resizing. 			276
